################################################################################
ID     Step    maxR |    avgR   stdR   avgS  stdS |    expR   objC   etc.
0  2.02e+07 4265.71 | 4107.19    0.0   2883     0 |    1.42   1.18   0.03  -1.15
0  2.02e+07 4265.71 | 4109.66    0.0   2883     0 |    1.43   1.15   0.04  -1.15
0  2.03e+07 4265.71 | 4111.69    0.0   2883     0 |    1.43   1.28   0.09  -1.14
0  2.04e+07 4265.71 | 4111.13    0.0   2883     0 |    1.43   1.11  -0.04  -1.14
0  2.05e+07 4265.71 | 4110.87    0.0   2883     0 |    1.43   1.13   0.10  -1.15
0  2.06e+07 4265.71 | 4111.20    0.0   2883     0 |    1.43   1.21   0.03  -1.14
0  2.06e+07 4265.71 | 4114.32    0.0   2883     0 |    1.43   1.16  -0.02  -1.16
0  2.07e+07 4265.71 | 4115.47    0.0   2883     0 |    1.43   1.10   0.06  -1.16
0  2.08e+07 4265.71 | 4114.91    0.0   2883     0 |    1.43   1.19  -0.05  -1.16
0  2.09e+07 4265.71 | 4117.50    0.0   2883     0 |    1.43   1.24   0.04  -1.16
0  2.10e+07 4265.71 | 4116.39    0.0   2883     0 |    1.43   1.09   0.11  -1.15
0  2.10e+07 4265.71 | 4114.85    0.0   2883     0 |    1.43   1.32   0.08  -1.15
0  2.11e+07 4265.71 | 4115.20    0.0   2883     0 |    1.43   1.42   0.06  -1.16
0  2.12e+07 4265.71 | 4114.62    0.0   2883     0 |    1.43   1.43   0.09  -1.15
0  2.13e+07 4265.71 | 4111.59    0.0   2883     0 |    1.42   1.06   0.13  -1.15
0  2.13e+07 4265.71 | 4116.22    0.0   2883     0 |    1.43   1.44   0.07  -1.16
0  2.14e+07 4265.71 | 4116.49    0.0   2883     0 |    1.43   1.06   0.16  -1.16
0  2.15e+07 4265.71 | 4112.88    0.0   2883     0 |    1.43   1.23   0.15  -1.15
0  2.16e+07 4265.71 | 4115.21    0.0   2883     0 |    1.43   1.20   0.01  -1.15
0  2.17e+07 4265.71 | 4114.60    0.0   2883     0 |    1.43   1.14   0.04  -1.15
0  2.17e+07 4265.71 | 4117.32    0.0   2883     0 |    1.43   1.24   0.16  -1.15
0  2.18e+07 4265.71 | 4117.79    0.0   2883     0 |    1.43   1.04   0.02  -1.15
0  2.19e+07 4265.71 | 4117.62    0.0   2883     0 |    1.43   1.31   0.09  -1.15
0  2.20e+07 4265.71 | 4116.62    0.0   2883     0 |    1.43   1.20   0.13  -1.14
0  2.21e+07 4265.71 | 4115.08    0.0   2883     0 |    1.43   1.12   0.03  -1.15
0  2.22e+07 4265.71 | 4117.32    0.0   2883     0 |    1.43   1.19   0.05  -1.15
0  2.22e+07 4265.71 | 4116.90    0.0   2883     0 |    1.43   1.26  -0.04  -1.15
0  2.23e+07 4265.71 | 4117.31    0.0   2883     0 |    1.43   1.06  -0.02  -1.15
0  2.24e+07 4265.71 | 4117.49    0.0   2883     0 |    1.43   1.15   0.03  -1.16
0  2.25e+07 4265.71 | 4116.21    0.0   2883     0 |    1.43   1.19   0.12  -1.16
0  2.26e+07 4265.71 | 4114.62    0.0   2882     0 |    1.43   1.15  -0.06  -1.16
0  2.26e+07 4265.71 | 4117.46    0.0   2882     0 |    1.43   1.25   0.09  -1.15
0  2.27e+07 4265.71 | 4122.88    0.0   2884     0 |    1.43   1.15   0.04  -1.14
0  2.28e+07 4265.71 | 4115.70    0.0   2882     0 |    1.43   1.39  -0.00  -1.15
0  2.29e+07 4265.71 | 4121.55    0.0   2884     0 |    1.43   1.26  -0.00  -1.15
0  2.29e+07 4265.71 | 4114.75    0.0   2883     0 |    1.43   1.23   0.05  -1.15
0  2.30e+07 4265.71 | 4116.79    0.0   2883     0 |    1.43   1.21   0.08  -1.15
0  2.31e+07 4265.71 | 4117.52    0.0   2883     0 |    1.43   1.22   0.10  -1.15
0  2.32e+07 4265.71 | 4118.27    0.0   2882     0 |    1.43   1.21  -0.00  -1.15
0  2.33e+07 4265.71 | 4117.03    0.0   2882     0 |    1.43   1.16  -0.02  -1.16
0  2.33e+07 4265.71 | 4114.94    0.0   2882     0 |    1.43   1.35   0.20  -1.15
0  2.34e+07 4265.71 | 4114.94    0.0   2882     0 |    1.43   1.36   0.09  -1.15
0  2.35e+07 4265.71 | 4114.84    0.0   2882     0 |    1.43   1.22  -0.04  -1.14
0  2.36e+07 4265.71 | 4115.48    0.0   2882     0 |    1.43   1.16   0.01  -1.14
0  2.37e+07 4265.71 | 4114.58    0.0   2883     0 |    1.43   1.15  -0.03  -1.15
0  2.37e+07 4265.71 | 4115.09    0.0   2882     0 |    1.43   1.11   0.04  -1.16
0  2.38e+07 4265.71 | 4115.09    0.0   2882     0 |    1.43   1.33   0.15  -1.16
0  2.39e+07 4265.71 | 4115.66    0.0   2883     0 |    1.43   1.39   0.02  -1.17
0  2.40e+07 4265.71 | 4117.60    0.0   2883     0 |    1.43   1.33  -0.00  -1.16
0  2.41e+07 4265.71 | 4117.53    0.0   2883     0 |    1.43   1.30   0.10  -1.17
0  2.41e+07 4265.71 | 4116.74    0.0   2882     0 |    1.43   1.27  -0.02  -1.17
0  2.42e+07 4265.71 | 4115.07    0.0   2882     0 |    1.43   1.22   0.06  -1.16
0  2.43e+07 4265.71 | 4111.34    0.0   2882     0 |    1.43   1.20   0.09  -1.16
0  2.44e+07 4265.71 | 4113.31    0.0   2882     0 |    1.43   1.38  -0.01  -1.15
0  2.45e+07 4265.71 | 4114.54    0.0   2882     0 |    1.43   1.25  -0.09  -1.16
0  2.46e+07 4265.71 | 4112.76    0.0   2882     0 |    1.43   1.23   0.06  -1.16
0  2.46e+07 4265.71 | 4114.35    0.0   2883     0 |    1.43   1.23   0.01  -1.16
0  2.47e+07 4265.71 | 4113.18    0.0   2882     0 |    1.43   1.18   0.10  -1.14
0  2.48e+07 4265.71 | 4112.90    0.0   2882     0 |    1.43   1.43  -0.02  -1.14
0  2.49e+07 4265.71 | 4112.91    0.0   2883     0 |    1.43   1.22   0.08  -1.14
0  2.49e+07 4265.71 | 4112.00    0.0   2882     0 |    1.43   1.25   0.15  -1.15
0  2.50e+07 4265.71 | 4111.94    0.0   2883     0 |    1.43   1.12  -0.06  -1.15
0  2.51e+07 4265.71 | 4113.03    0.0   2883     0 |    1.43   1.07   0.00  -1.16
0  2.52e+07 4265.71 | 4100.80    0.0   2883     0 |    1.42   1.03  -0.02  -1.14
0  2.53e+07 4265.71 | 4104.50    0.0   2883     0 |    1.42   1.32   0.14  -1.14
0  2.54e+07 4265.71 | 4110.37    0.0   2883     0 |    1.43   1.17   0.04  -1.15
0  2.54e+07 4265.71 | 4106.61    0.0   2883     0 |    1.42   1.12   0.03  -1.14
0  2.55e+07 4265.71 | 4104.47    0.0   2883     0 |    1.42   1.16  -0.03  -1.13
0  2.56e+07 4265.71 | 4107.28    0.0   2883     0 |    1.42   1.15  -0.06  -1.15
0  2.57e+07 4265.71 | 4107.94    0.0   2883     0 |    1.43   1.25   0.06  -1.15
0  2.57e+07 4265.71 | 4106.00    0.0   2883     0 |    1.42   1.13   0.08  -1.14
0  2.58e+07 4265.71 | 4109.11    0.0   2882     0 |    1.43   1.22   0.07  -1.15
0  2.59e+07 4265.71 | 4103.36    0.0   2883     0 |    1.42   1.08   0.01  -1.16
0  2.60e+07 4265.71 | 4111.08    0.0   2883     0 |    1.43   1.23   0.12  -1.16
0  2.61e+07 4265.71 | 4110.43    0.0   2883     0 |    1.43   1.20   0.02  -1.16
0  2.61e+07 4265.71 | 4108.28    0.0   2883     0 |    1.42   1.22   0.10  -1.15
0  2.62e+07 4265.71 | 4112.18    0.0   2883     0 |    1.43   1.24   0.15  -1.15
0  2.63e+07 4265.71 | 4107.66    0.0   2883     0 |    1.42   1.23   0.12  -1.15
0  2.64e+07 4265.71 | 4111.89    0.0   2883     0 |    1.42   1.39   0.05  -1.16
0  2.65e+07 4265.71 | 4112.52    0.0   2883     0 |    1.43   1.35   0.01  -1.15
0  2.66e+07 4265.71 | 4097.17    0.0   2883     0 |    1.42   1.17   0.09  -1.15
0  2.66e+07 4265.71 | 4099.66    0.0   2883     0 |    1.42   1.28   0.00  -1.15
0  2.67e+07 4265.71 | 4101.32    0.0   2883     0 |    1.42   1.31   0.03  -1.15
0  2.68e+07 4265.71 | 4101.06    0.0   2883     0 |    1.42   1.32   0.08  -1.15
0  2.69e+07 4265.71 | 4100.63    0.0   2883     0 |    1.42   1.37  -0.08  -1.15
0  2.70e+07 4265.71 | 4105.10    0.0   2883     0 |    1.42   1.49  -0.07  -1.15
0  2.70e+07 4265.71 | 4106.39    0.0   2883     0 |    1.42   1.24   0.03  -1.15
0  2.71e+07 4265.71 | 4107.81    0.0   2883     0 |    1.42   1.22   0.13  -1.15
0  2.72e+07 4265.71 | 4106.09    0.0   2883     0 |    1.42   1.09   0.02  -1.15
0  2.73e+07 4265.71 | 4102.01    0.0   2883     0 |    1.42   1.14   0.19  -1.14
0  2.74e+07 4265.71 | 4103.68    0.0   2883     0 |    1.42   1.18   0.14  -1.13
0  2.74e+07 4265.71 | 4103.74    0.0   2883     0 |    1.42   1.35   0.12  -1.15
0  2.75e+07 4265.71 | 4109.87    0.0   2883     0 |    1.43   1.24   0.02  -1.16
0  2.76e+07 4265.71 | 4110.52    0.0   2883     0 |    1.43   1.26   0.09  -1.16
0  2.77e+07 4265.71 | 4108.16    0.0   2883     0 |    1.43   1.36   0.05  -1.14
0  2.78e+07 4265.71 | 4113.19    0.0   2883     0 |    1.43   1.17   0.10  -1.14
0  2.78e+07 4265.71 | 4112.09    0.0   2883     0 |    1.43   1.15  -0.00  -1.14
0  2.79e+07 4265.71 | 4112.39    0.0   2883     0 |    1.42   1.20  -0.03  -1.15
0  2.80e+07 4265.71 | 4110.38    0.0   2883     0 |    1.42   1.24   0.09  -1.14
0  2.81e+07 4265.71 | 4112.64    0.0   2883     0 |    1.43   1.05   0.09  -1.15
0  2.82e+07 4265.71 | 4111.53    0.0   2883     0 |    1.43   1.37  -0.03  -1.15
0  2.82e+07 4265.71 | 4107.45    0.0   2883     0 |    1.42   1.13   0.02  -1.14
0  2.83e+07 4265.71 | 4111.90    0.0   2883     0 |    1.43   1.36   0.01  -1.14
0  2.84e+07 4265.71 | 4114.55    0.0   2883     0 |    1.43   1.29   0.05  -1.14
0  2.85e+07 4265.71 | 4116.54    0.0   2883     0 |    1.43   1.19   0.17  -1.14
0  2.86e+07 4265.71 | 4114.85    0.0   2883     0 |    1.43   1.18   0.05  -1.14
0  2.87e+07 4265.71 | 4112.04    0.0   2883     0 |    1.43   1.31   0.01  -1.14
0  2.87e+07 4265.71 | 4108.09    0.0   2883     0 |    1.42   1.22  -0.02  -1.15
0  2.88e+07 4265.71 | 4106.11    0.0   2883     0 |    1.42   1.37   0.02  -1.15
0  2.89e+07 4265.71 | 4111.95    0.0   2883     0 |    1.43   1.31  -0.01  -1.14
0  2.90e+07 4265.71 | 4112.33    0.0   2883     0 |    1.42   1.33  -0.06  -1.15
0  2.91e+07 4265.71 | 4105.50    0.0   2883     0 |    1.42   1.41   0.02  -1.14
0  2.91e+07 4265.71 | 4107.41    0.0   2883     0 |    1.42   1.44   0.13  -1.13
0  2.92e+07 4265.71 | 4112.12    0.0   2883     0 |    1.43   1.21   0.02  -1.14
0  2.93e+07 4265.71 | 4113.18    0.0   2883     0 |    1.43   1.30  -0.03  -1.13
0  2.94e+07 4265.71 | 4115.77    0.0   2883     0 |    1.43   1.31  -0.07  -1.14
0  2.95e+07 4265.71 | 4113.10    0.0   2883     0 |    1.43   1.06   0.11  -1.13
0  2.95e+07 4265.71 | 4111.13    0.0   2883     0 |    1.43   1.32   0.13  -1.13
0  2.96e+07 4265.71 | 4109.79    0.0   2883     0 |    1.42   1.30   0.15  -1.14
0  2.97e+07 4265.71 | 4105.93    0.0   2883     0 |    1.42   1.18  -0.01  -1.15
0  2.98e+07 4265.71 | 4105.35    0.0   2883     0 |    1.42   1.34  -0.01  -1.14
0  2.99e+07 4265.71 | 4112.10    0.0   2883     0 |    1.43   1.33  -0.01  -1.14
0  2.99e+07 4265.71 | 4110.51    0.0   2883     0 |    1.43   1.30  -0.02  -1.13
0  3.00e+07 4265.71 | 4110.20    0.0   2883     0 |    1.43   1.27   0.05  -1.14
0  3.01e+07 4265.71 | 4107.35    0.0   2883     0 |    1.43   1.33   0.14  -1.14
0  3.02e+07 4265.71 | 4107.50    0.0   2883     0 |    1.42   1.23   0.08  -1.13
0  3.03e+07 4265.71 | 4107.39    0.0   2883     0 |    1.43   1.21  -0.01  -1.13
0  3.03e+07 4265.71 | 4106.21    0.0   2883     0 |    1.42   1.15  -0.02  -1.14
