################################################################################
ID     Step    maxR |    avgR   stdR   avgS  stdS |    expR   objC   etc.
0  4.29e+06 4158.84 | 4126.03    0.0   2884     0 |    1.43   1.61   0.02  -1.18
0  4.37e+06 4158.84 | 4126.37    0.0   2884     0 |    1.43   1.59  -0.01  -1.18
0  4.45e+06 4158.84 | 4124.66    0.0   2884     0 |    1.43   1.44   0.03  -1.18
0  4.53e+06 4158.84 | 4123.14    0.0   2884     0 |    1.43   1.42   0.04  -1.18
0  4.61e+06 4158.84 | 4123.47    0.0   2884     0 |    1.43   1.53  -0.02  -1.17
0  4.69e+06 4158.84 | 4120.70    0.0   2884     0 |    1.43   1.38  -0.03  -1.17
0  4.77e+06 4158.84 | 4128.64    0.0   2884     0 |    1.43   1.51  -0.04  -1.17
0  4.85e+06 4158.84 | 4130.89    0.0   2884     0 |    1.43   1.43  -0.03  -1.18
0  4.93e+06 4158.84 | 4126.82    0.0   2884     0 |    1.43   1.56   0.06  -1.17
0  5.01e+06 4158.84 | 4125.24    0.0   2884     0 |    1.43   1.31   0.02  -1.17
0  5.09e+06 4158.84 | 4124.36    0.0   2884     0 |    1.43   1.33   0.07  -1.17
0  5.17e+06 4158.84 | 4124.43    0.0   2884     0 |    1.43   1.18  -0.01  -1.18
0  5.25e+06 4158.84 | 4123.81    0.0   2884     0 |    1.43   1.29   0.06  -1.17
0  5.33e+06 4158.84 | 4120.02    0.0   2884     0 |    1.43   1.47   0.01  -1.18
0  5.41e+06 4158.84 | 4120.41    0.0   2884     0 |    1.43   1.39   0.12  -1.18
0  5.49e+06 4158.84 | 4121.13    0.0   2884     0 |    1.43   1.40   0.00  -1.18
0  5.57e+06 4158.84 | 4120.54    0.0   2884     0 |    1.43   1.56  -0.06  -1.17
0  5.65e+06 4158.84 | 4110.98    0.0   2884     0 |    1.42   1.27  -0.02  -1.17
0  5.73e+06 4158.84 | 4117.72    0.0   2884     0 |    1.43   1.35   0.04  -1.18
0  5.81e+06 4158.84 | 4117.66    0.0   2884     0 |    1.43   1.38   0.01  -1.17
0  5.90e+06 4158.84 | 4117.37    0.0   2884     0 |    1.43   1.20   0.01  -1.17
0  5.98e+06 4158.84 | 4110.79    0.0   2884     0 |    1.42   1.36   0.11  -1.16
0  6.06e+06 4158.84 | 4114.10    0.0   2884     0 |    1.42   1.15   0.07  -1.16
0  6.14e+06 4158.84 | 4114.83    0.0   2884     0 |    1.43   1.35  -0.02  -1.16
0  6.22e+06 4158.84 | 4112.14    0.0   2884     0 |    1.42   1.52  -0.01  -1.16
0  6.30e+06 4158.84 | 4119.48    0.0   2884     0 |    1.42   1.25   0.09  -1.15
0  6.38e+06 4158.84 | 4117.10    0.0   2884     0 |    1.43   1.26   0.10  -1.16
0  6.46e+06 4158.84 | 4118.37    0.0   2884     0 |    1.43   1.41  -0.07  -1.16
0  6.54e+06 4158.84 | 4124.45    0.0   2884     0 |    1.43   1.38  -0.09  -1.17
