################################################################################
ID     Step    maxR |    avgR   stdR   avgS  stdS |    expR   objC   etc.
0  3.28e+06 4156.13 | 4085.11    0.0   2883     0 |    1.42   0.70   0.11  -1.16
0  3.36e+06 4156.13 | 4085.97    0.0   2883     0 |    1.41   0.69   0.05  -1.17
0  3.43e+06 4156.13 | 4090.90    0.0   2883     0 |    1.42   0.61  -0.05  -1.18
0  3.51e+06 4156.13 | 4094.04    0.0   2883     0 |    1.42   0.83   0.01  -1.17
0  3.58e+06 4156.13 | 4096.40    0.0   2883     0 |    1.42   0.73  -0.04  -1.17
0  3.66e+06 4156.13 | 4093.97    0.0   2883     0 |    1.42   0.68  -0.03  -1.17
0  3.73e+06 4156.13 | 4087.50    0.0   2883     0 |    1.42   0.67   0.13  -1.17
0  3.81e+06 4156.13 | 4083.32    0.0   2883     0 |    1.41   0.76   0.13  -1.17
0  3.88e+06 4156.13 | 4091.49    0.0   2883     0 |    1.42   0.81   0.03  -1.16
0  3.96e+06 4156.13 | 4085.59    0.0   2883     0 |    1.42   0.75   0.12  -1.17
0  4.03e+06 4156.13 | 4086.30    0.0   2883     0 |    1.42   0.78   0.06  -1.18
0  4.11e+06 4156.13 | 4082.00    0.0   2883     0 |    1.42   0.65  -0.02  -1.17
0  4.18e+06 4156.13 | 4082.80    0.0   2883     0 |    1.42   0.78   0.04  -1.17
0  4.26e+06 4156.13 | 4087.61    0.0   2883     0 |    1.42   0.80  -0.04  -1.17
0  4.33e+06 4156.13 | 4083.65    0.0   2883     0 |    1.42   0.63   0.04  -1.17
0  4.41e+06 4156.13 | 4084.59    0.0   2883     0 |    1.42   0.84   0.06  -1.17
0  4.48e+06 4156.13 | 4081.72    0.0   2883     0 |    1.42   0.68   0.03  -1.16
0  4.56e+06 4156.13 | 4080.48    0.0   2883     0 |    1.42   0.83  -0.06  -1.17
0  4.63e+06 4156.13 | 4085.86    0.0   2883     0 |    1.42   0.77   0.09  -1.16
0  4.71e+06 4156.13 | 4084.82    0.0   2883     0 |    1.42   0.73  -0.03  -1.16
0  4.78e+06 4156.13 | 4084.96    0.0   2883     0 |    1.42   0.72   0.09  -1.17
0  4.86e+06 4156.13 | 4084.92    0.0   2883     0 |    1.42   0.72   0.12  -1.17
0  4.93e+06 4156.13 | 4082.48    0.0   2883     0 |    1.41   0.65  -0.01  -1.17
0  5.01e+06 4156.13 | 4084.69    0.0   2883     0 |    1.42   0.68   0.04  -1.18
0  5.08e+06 4156.13 | 4081.95    0.0   2883     0 |    1.41   0.85   0.12  -1.18
0  5.16e+06 4156.13 | 4083.59    0.0   2883     0 |    1.42   0.77  -0.09  -1.17
0  5.23e+06 4156.13 | 4082.02    0.0   2883     0 |    1.42   0.73   0.00  -1.16
0  5.31e+06 4156.13 | 4087.30    0.0   2883     0 |    1.42   0.85  -0.00  -1.17
0  5.38e+06 4156.13 | 4081.29    0.0   2883     0 |    1.42   0.73  -0.00  -1.16
0  5.46e+06 4156.13 | 4083.08    0.0   2883     0 |    1.42   0.76   0.07  -1.16
0  5.53e+06 4156.13 | 4084.31    0.0   2883     0 |    1.42   0.73  -0.01  -1.16
0  5.61e+06 4156.13 | 4083.92    0.0   2883     0 |    1.42   0.75  -0.04  -1.16
0  5.68e+06 4156.13 | 4082.70    0.0   2883     0 |    1.42   0.81   0.02  -1.16
0  5.75e+06 4156.13 | 4081.28    0.0   2883     0 |    1.41   0.75  -0.08  -1.16
0  5.83e+06 4156.13 | 4079.74    0.0   2883     0 |    1.41   0.73   0.08  -1.16
0  5.90e+06 4156.13 | 4082.22    0.0   2883     0 |    1.41   0.68   0.05  -1.16
0  5.98e+06 4156.13 | 4084.04    0.0   2883     0 |    1.42   0.73  -0.04  -1.16
0  6.05e+06 4156.13 | 4082.06    0.0   2883     0 |    1.42   0.73  -0.01  -1.16
0  6.13e+06 4156.13 | 4082.32    0.0   2883     0 |    1.42   0.70   0.09  -1.16
0  6.20e+06 4156.13 | 4077.04    0.0   2883     0 |    1.41   0.73   0.04  -1.16
0  6.28e+06 4156.13 | 4075.44    0.0   2883     0 |    1.41   0.69  -0.05  -1.16
0  6.35e+06 4156.13 | 4081.76    0.0   2883     0 |    1.41   0.73  -0.01  -1.16
0  6.43e+06 4156.13 | 4089.55    0.0   2883     0 |    1.42   0.81   0.03  -1.16
0  6.50e+06 4156.13 | 4089.58    0.0   2883     0 |    1.42   0.85   0.08  -1.16
0  6.58e+06 4156.13 | 4079.66    0.0   2883     0 |    1.41   0.70   0.04  -1.17
0  6.65e+06 4156.13 | 4079.28    0.0   2883     0 |    1.41   0.78   0.00  -1.16
0  6.73e+06 4156.13 | 4079.29    0.0   2883     0 |    1.41   0.76  -0.06  -1.15
0  6.80e+06 4156.13 | 4082.33    0.0   2883     0 |    1.41   0.82  -0.01  -1.17
0  6.88e+06 4156.13 | 4077.11    0.0   2883     0 |    1.41   0.72  -0.01  -1.17
0  6.95e+06 4156.13 | 4074.80    0.0   2883     0 |    1.41   0.85   0.11  -1.18
0  7.03e+06 4156.13 | 4076.45    0.0   2883     0 |    1.41   0.62  -0.01  -1.17
0  7.10e+06 4156.13 | 4077.24    0.0   2883     0 |    1.41   0.80   0.02  -1.17
0  7.18e+06 4156.13 | 4075.74    0.0   2883     0 |    1.41   0.73  -0.03  -1.17
0  7.25e+06 4156.13 | 4078.26    0.0   2883     0 |    1.41   0.70  -0.05  -1.17
0  7.33e+06 4156.13 | 4076.52    0.0   2883     0 |    1.41   0.71  -0.01  -1.18
0  7.40e+06 4156.13 | 4077.12    0.0   2883     0 |    1.41   0.65  -0.01  -1.17
0  7.48e+06 4156.13 | 4079.07    0.0   2883     0 |    1.41   0.67   0.07  -1.18
0  7.55e+06 4156.13 | 4082.45    0.0   2883     0 |    1.42   0.85   0.06  -1.18
0  7.63e+06 4156.13 | 4083.49    0.0   2883     0 |    1.42   0.76   0.03  -1.17
0  7.70e+06 4156.13 | 4081.15    0.0   2883     0 |    1.42   0.77   0.11  -1.16
0  7.78e+06 4156.13 | 4084.00    0.0   2883     0 |    1.42   0.75   0.03  -1.16
0  7.85e+06 4156.13 | 4082.36    0.0   2883     0 |    1.42   0.80  -0.04  -1.17
0  7.93e+06 4156.13 | 4083.16    0.0   2883     0 |    1.42   0.83   0.05  -1.18
0  8.00e+06 4156.13 | 4081.10    0.0   2883     0 |    1.42   0.87   0.14  -1.18
0  8.08e+06 4156.13 | 4077.79    0.0   2883     0 |    1.41   0.77  -0.05  -1.17
0  8.15e+06 4156.13 | 4079.99    0.0   2883     0 |    1.41   0.63   0.03  -1.17
0  8.23e+06 4156.13 | 4077.92    0.0   2883     0 |    1.41   0.82   0.08  -1.17
0  8.30e+06 4156.13 | 4080.33    0.0   2883     0 |    1.41   0.68  -0.12  -1.17
0  8.38e+06 4156.13 | 4081.20    0.0   2883     0 |    1.42   0.76   0.05  -1.16
0  8.45e+06 4156.13 | 4081.34    0.0   2883     0 |    1.42   0.73   0.05  -1.16
0  8.53e+06 4156.13 | 4081.62    0.0   2883     0 |    1.42   0.73   0.11  -1.15
0  8.60e+06 4156.13 | 4080.02    0.0   2883     0 |    1.41   0.81   0.02  -1.16
0  8.68e+06 4156.13 | 4085.11    0.0   2883     0 |    1.42   0.77  -0.07  -1.16
0  8.75e+06 4156.13 | 4087.65    0.0   2883     0 |    1.42   0.82   0.08  -1.15
0  8.83e+06 4156.13 | 4085.66    0.0   2883     0 |    1.42   0.73   0.04  -1.17
0  8.90e+06 4156.13 | 4084.40    0.0   2883     0 |    1.42   0.82   0.05  -1.17
0  8.98e+06 4156.13 | 4089.33    0.0   2883     0 |    1.42   0.67  -0.05  -1.17
0  9.05e+06 4156.13 | 4091.08    0.0   2883     0 |    1.42   0.81   0.13  -1.16
0  9.13e+06 4156.13 | 4085.68    0.0   2883     0 |    1.42   0.74   0.11  -1.16
0  9.20e+06 4156.13 | 4087.79    0.0   2883     0 |    1.42   0.66  -0.02  -1.15
0  9.28e+06 4156.13 | 4087.54    0.0   2883     0 |    1.42   0.75   0.08  -1.16
0  9.35e+06 4156.13 | 4085.20    0.0   2883     0 |    1.42   0.76  -0.00  -1.16
0  9.43e+06 4156.13 | 4087.57    0.0   2883     0 |    1.42   0.68   0.04  -1.16
0  9.50e+06 4156.13 | 4087.66    0.0   2883     0 |    1.42   0.75   0.08  -1.15
0  9.58e+06 4156.13 | 4080.34    0.0   2883     0 |    1.41   0.81   0.03  -1.16
0  9.65e+06 4156.13 | 4084.27    0.0   2883     0 |    1.42   0.69   0.04  -1.16
0  9.73e+06 4156.13 | 4082.74    0.0   2883     0 |    1.42   0.74  -0.04  -1.16
0  9.80e+06 4156.13 | 4080.26    0.0   2883     0 |    1.42   0.76   0.04  -1.16
0  9.88e+06 4156.13 | 4082.88    0.0   2883     0 |    1.42   0.65   0.03  -1.15
0  9.95e+06 4156.13 | 4083.84    0.0   2883     0 |    1.42   0.71   0.02  -1.15
0  1.00e+07 4156.13 | 4091.01    0.0   2883     0 |    1.42   0.67  -0.06  -1.14
0  1.01e+07 4156.13 | 4088.81    0.0   2883     0 |    1.42   0.71  -0.03  -1.15
0  1.02e+07 4156.13 | 4089.23    0.0   2885     0 |    1.42   0.83   0.08  -1.15
0  1.03e+07 4156.13 | 4087.75    0.0   2883     0 |    1.42   0.84   0.03  -1.15
0  1.03e+07 4156.13 | 4083.33    0.0   2883     0 |    1.42   0.72  -0.12  -1.15
0  1.04e+07 4156.13 | 4077.51    0.0   2883     0 |    1.41   0.77   0.00  -1.16
0  1.05e+07 4156.13 | 4073.42    0.0   2883     0 |    1.41   0.83  -0.05  -1.16
0  1.06e+07 4156.13 | 4074.60    0.0   2883     0 |    1.41   0.78  -0.05  -1.18
0  1.06e+07 4156.13 | 4074.31    0.0   2883     0 |    1.41   0.78  -0.09  -1.17
0  1.07e+07 4156.13 | 4071.74    0.0   2883     0 |    1.41   0.71  -0.07  -1.16
0  1.08e+07 4156.13 | 4075.53    0.0   2883     0 |    1.41   0.82   0.07  -1.17
0  1.09e+07 4156.13 | 4084.38    0.0   2883     0 |    1.41   0.79   0.05  -1.15
0  1.09e+07 4156.13 | 4077.16    0.0   2883     0 |    1.41   0.77  -0.00  -1.15
0  1.10e+07 4156.13 | 4071.26    0.0   2883     0 |    1.41   0.80   0.04  -1.16
0  1.11e+07 4156.13 | 4067.21    0.0   2883     0 |    1.41   0.82   0.00  -1.16
0  1.12e+07 4156.13 | 4075.90    0.0   2883     0 |    1.41   0.76   0.12  -1.17
0  1.12e+07 4156.13 | 4058.52    0.0   2883     0 |    1.41   0.71   0.05  -1.16
0  1.13e+07 4156.13 | 4062.04    0.0   2883     0 |    1.41   0.87   0.13  -1.16
0  1.14e+07 4156.13 | 4059.47    0.0   2883     0 |    1.41   0.72  -0.03  -1.17
0  1.15e+07 4156.13 | 4064.09    0.0   2883     0 |    1.41   0.83  -0.00  -1.17
0  1.15e+07 4156.13 | 4067.85    0.0   2883     0 |    1.41   0.72   0.06  -1.17
0  1.16e+07 4156.13 | 4071.83    0.0   2883     0 |    1.41   0.81   0.00  -1.16
0  1.17e+07 4156.13 | 4077.15    0.0   2883     0 |    1.41   0.74   0.11  -1.16
0  1.18e+07 4156.13 | 4084.51    0.0   2883     0 |    1.42   0.76   0.06  -1.16
0  1.18e+07 4156.13 | 4082.19    0.0   2883     0 |    1.42   0.75   0.07  -1.16
0  1.19e+07 4156.13 | 4076.33    0.0   2883     0 |    1.41   0.71   0.00  -1.16
0  1.20e+07 4156.13 | 4072.15    0.0   2883     0 |    1.41   0.75   0.08  -1.16
0  1.21e+07 4156.13 | 4076.36    0.0   2883     0 |    1.41   0.71   0.03  -1.16
0  1.21e+07 4156.13 | 4076.52    0.0   2883     0 |    1.41   0.71   0.05  -1.16
0  1.22e+07 4156.13 | 4076.12    0.0   2883     0 |    1.41   0.78   0.05  -1.16
0  1.23e+07 4156.13 | 4075.57    0.0   2883     0 |    1.41   0.74   0.06  -1.16
0  1.24e+07 4156.13 | 4077.53    0.0   2883     0 |    1.41   0.80   0.11  -1.16
0  1.24e+07 4156.13 | 4069.92    0.0   2883     0 |    1.41   0.71   0.05  -1.16
0  1.25e+07 4156.13 | 4068.25    0.0   2883     0 |    1.41   0.77   0.07  -1.15
0  1.26e+07 4156.13 | 4080.72    0.0   2883     0 |    1.42   0.72  -0.00  -1.16
0  1.27e+07 4156.13 | 4078.79    0.0   2883     0 |    1.41   0.82   0.09  -1.16
0  1.27e+07 4156.13 | 4068.53    0.0   2883     0 |    1.41   0.78   0.03  -1.17
0  1.28e+07 4156.13 | 4069.03    0.0   2883     0 |    1.41   0.80   0.02  -1.17
0  1.29e+07 4156.13 | 4067.88    0.0   2883     0 |    1.41   0.76   0.10  -1.16
0  1.30e+07 4156.13 | 4066.98    0.0   2883     0 |    1.41   0.76  -0.01  -1.16
0  1.30e+07 4156.13 | 4068.46    0.0   2883     0 |    1.41   0.70   0.05  -1.16
0  1.31e+07 4156.13 | 4068.94    0.0   2883     0 |    1.41   0.79  -0.01  -1.16
0  1.32e+07 4156.13 | 4067.64    0.0   2883     0 |    1.41   0.78  -0.09  -1.16
0  1.33e+07 4156.13 | 4073.22    0.0   2883     0 |    1.41   0.64  -0.03  -1.15
0  1.33e+07 4156.13 | 4063.80    0.0   2883     0 |    1.41   0.86   0.11  -1.16
0  1.34e+07 4156.13 | 4065.27    0.0   2883     0 |    1.41   0.64   0.00  -1.16
0  1.35e+07 4156.13 | 4066.62    0.0   2883     0 |    1.41   0.73   0.08  -1.17
0  1.36e+07 4156.13 | 4068.22    0.0   2883     0 |    1.41   0.79   0.10  -1.17
0  1.36e+07 4156.13 | 4067.20    0.0   2883     0 |    1.41   0.73  -0.07  -1.17
0  1.37e+07 4156.13 | 4066.36    0.0   2883     0 |    1.41   0.86  -0.01  -1.17
0  1.38e+07 4156.13 | 4065.51    0.0   2883     0 |    1.41   0.84   0.12  -1.16
0  1.39e+07 4156.13 | 4066.66    0.0   2883     0 |    1.41   0.76  -0.05  -1.16
0  1.39e+07 4156.13 | 4061.86    0.0   2883     0 |    1.41   0.75   0.09  -1.15
0  1.40e+07 4156.13 | 4063.08    0.0   2884     0 |    1.41   0.74   0.11  -1.15
0  1.41e+07 4156.13 | 4061.06    0.0   2884     0 |    1.41   0.86   0.06  -1.15
0  1.42e+07 4156.13 | 4063.27    0.0   2884     0 |    1.41   0.67  -0.03  -1.16
0  1.42e+07 4156.13 | 4065.33    0.0   2884     0 |    1.41   0.88   0.02  -1.16
0  1.43e+07 4156.13 | 4065.58    0.0   2884     0 |    1.41   0.69  -0.06  -1.16
0  1.44e+07 4156.13 | 4063.48    0.0   2884     0 |    1.41   0.75  -0.01  -1.15
0  1.45e+07 4156.13 | 4065.22    0.0   2884     0 |    1.41   0.74   0.01  -1.16
0  1.45e+07 4156.13 | 4063.57    0.0   2884     0 |    1.41   0.78  -0.01  -1.17
0  1.46e+07 4156.13 | 4067.53    0.0   2884     0 |    1.41   0.87  -0.01  -1.17
0  1.47e+07 4156.13 | 4065.45    0.0   2884     0 |    1.41   0.73   0.03  -1.15
0  1.48e+07 4156.13 | 4063.59    0.0   2884     0 |    1.41   0.70   0.05  -1.16
0  1.48e+07 4156.13 | 4063.92    0.0   2884     0 |    1.41   0.72   0.08  -1.15
0  1.49e+07 4156.13 | 4060.22    0.0   2882     0 |    1.41   0.79   0.00  -1.16
0  1.50e+07 4156.13 | 4066.54    0.0   2882     0 |    1.41   0.81   0.13  -1.16
0  1.51e+07 4156.13 | 4064.28    0.0   2884     0 |    1.41   0.84  -0.02  -1.15
0  1.51e+07 4156.13 | 4059.17    0.0   2884     0 |    1.41   0.74   0.05  -1.15
0  1.52e+07 4156.13 | 4065.41    0.0   2884     0 |    1.41   0.81  -0.07  -1.14
0  1.53e+07 4156.13 | 4063.89    0.0   2884     0 |    1.41   0.73   0.04  -1.14
0  1.54e+07 4156.13 | 4065.78    0.0   2884     0 |    1.41   0.77   0.07  -1.15
0  1.54e+07 4156.13 | 4066.45    0.0   2882     0 |    1.41   0.83   0.06  -1.16
0  1.55e+07 4156.13 | 4065.50    0.0   2882     0 |    1.41   0.73   0.03  -1.14
0  1.56e+07 4156.13 | 4067.23    0.0   2882     0 |    1.41   0.79  -0.07  -1.15
0  1.57e+07 4156.13 | 4068.08    0.0   2882     0 |    1.41   0.83   0.07  -1.16
0  1.57e+07 4156.13 | 4066.42    0.0   2882     0 |    1.41   0.76   0.04  -1.16
0  1.58e+07 4156.13 | 4065.73    0.0   2884     0 |    1.41   0.79   0.17  -1.15
0  1.59e+07 4156.13 | 4065.54    0.0   2882     0 |    1.41   0.72   0.12  -1.16
0  1.60e+07 4156.13 | 4064.63    0.0   2884     0 |    1.41   0.75  -0.10  -1.16
0  1.60e+07 4156.13 | 4065.79    0.0   2884     0 |    1.41   0.78   0.04  -1.15
0  1.61e+07 4156.13 | 4066.52    0.0   2884     0 |    1.41   0.65  -0.04  -1.15
0  1.62e+07 4156.13 | 4067.43    0.0   2884     0 |    1.41   0.85   0.01  -1.15
0  1.63e+07 4156.13 | 4068.68    0.0   2884     0 |    1.41   0.74   0.05  -1.16
0  1.63e+07 4156.13 | 4068.40    0.0   2884     0 |    1.41   0.69   0.05  -1.17
0  1.64e+07 4156.13 | 4069.14    0.0   2882     0 |    1.41   0.64   0.11  -1.17
0  1.65e+07 4156.13 | 4069.27    0.0   2882     0 |    1.41   0.81   0.02  -1.17
0  1.66e+07 4156.13 | 4067.78    0.0   2882     0 |    1.41   0.63   0.06  -1.16
0  1.66e+07 4156.13 | 4068.12    0.0   2882     0 |    1.41   0.68  -0.00  -1.17
0  1.67e+07 4156.13 | 4066.41    0.0   2882     0 |    1.41   0.87   0.05  -1.17
0  1.68e+07 4156.13 | 4063.70    0.0   2882     0 |    1.41   0.73   0.10  -1.15
0  1.68e+07 4156.13 | 4062.78    0.0   2882     0 |    1.41   0.83   0.02  -1.15
0  1.69e+07 4156.13 | 4064.77    0.0   2882     0 |    1.41   0.81   0.03  -1.15
0  1.70e+07 4156.13 | 4064.69    0.0   2882     0 |    1.41   0.76  -0.01  -1.15
0  1.71e+07 4156.13 | 4064.91    0.0   2882     0 |    1.41   0.73  -0.01  -1.16
0  1.71e+07 4156.13 | 4066.90    0.0   2882     0 |    1.41   0.67   0.07  -1.16
0  1.72e+07 4156.13 | 4061.70    0.0   2882     0 |    1.41   0.77   0.03  -1.15
0  1.73e+07 4156.13 | 4065.76    0.0   2882     0 |    1.41   0.68   0.07  -1.15
0  1.74e+07 4156.13 | 4067.71    0.0   2882     0 |    1.41   0.66   0.05  -1.16
0  1.74e+07 4156.13 | 4066.14    0.0   2882     0 |    1.41   0.74  -0.01  -1.17
0  1.75e+07 4156.13 | 4066.46    0.0   2882     0 |    1.41   0.74  -0.05  -1.17
0  1.76e+07 4156.13 | 4070.67    0.0   2882     0 |    1.41   0.81   0.08  -1.17
0  1.77e+07 4156.13 | 4069.34    0.0   2882     0 |    1.41   0.86   0.08  -1.16
0  1.77e+07 4156.13 | 4070.14    0.0   2882     0 |    1.41   0.76   0.05  -1.17
0  1.78e+07 4156.13 | 4067.25    0.0   2882     0 |    1.41   0.78   0.10  -1.16
0  1.79e+07 4156.13 | 4069.50    0.0   2882     0 |    1.41   0.80   0.22  -1.17
0  1.80e+07 4156.13 | 4067.84    0.0   2882     0 |    1.41   0.66   0.02  -1.17
0  1.80e+07 4156.13 | 4066.21    0.0   2882     0 |    1.41   0.73  -0.00  -1.18
0  1.81e+07 4156.13 | 4064.47    0.0   2882     0 |    1.41   0.75   0.02  -1.16
0  1.82e+07 4156.13 | 4065.52    0.0   2882     0 |    1.41   0.78  -0.13  -1.16
0  1.83e+07 4156.13 | 4071.02    0.0   2882     0 |    1.41   0.70  -0.07  -1.16
0  1.83e+07 4156.13 | 4073.60    0.0   2882     0 |    1.41   0.70   0.04  -1.16
0  1.84e+07 4156.13 | 4070.20    0.0   2882     0 |    1.41   0.79   0.04  -1.16
0  1.85e+07 4156.13 | 4071.26    0.0   2882     0 |    1.41   0.78   0.01  -1.17
0  1.86e+07 4156.13 | 4070.49    0.0   2882     0 |    1.41   0.81  -0.13  -1.16
0  1.86e+07 4156.13 | 4082.70    0.0   2882     0 |    1.42   0.63   0.03  -1.16
0  1.87e+07 4156.13 | 4071.89    0.0   2882     0 |    1.41   0.71   0.05  -1.16
0  1.88e+07 4156.13 | 4069.60    0.0   2882     0 |    1.41   0.83   0.01  -1.14
0  1.89e+07 4156.13 | 4070.29    0.0   2882     0 |    1.41   0.73  -0.15  -1.14
0  1.89e+07 4156.13 | 4071.72    0.0   2882     0 |    1.41   0.68   0.01  -1.15
0  1.90e+07 4156.13 | 4062.68    0.0   2887     0 |    1.41   0.76   0.05  -1.15
0  1.91e+07 4156.13 | 3960.53    0.0   2884     0 |    1.38   0.87  -0.01  -1.15
0  1.92e+07 4156.13 | 4008.02    0.0   2887     0 |    1.39   0.79  -0.06  -1.15
0  1.92e+07 4156.13 | 4031.13    0.0   2882     0 |    1.40   0.71   0.02  -1.15
0  1.93e+07 4156.13 | 4018.72    0.0   2882     0 |    1.40   0.84   0.03  -1.15
0  1.94e+07 4156.13 | 4009.61    0.0   2883     0 |    1.40   0.72   0.05  -1.17
0  1.95e+07 4156.13 | 4016.59    0.0   2882     0 |    1.39   0.76  -0.02  -1.16
0  1.95e+07 4156.13 | 4041.01    0.0   2882     0 |    1.40   0.73   0.03  -1.15
0  1.96e+07 4156.13 | 4047.83    0.0   2882     0 |    1.40   0.65   0.02  -1.14
0  1.97e+07 4156.13 | 4044.50    0.0   2884     0 |    1.40   0.71  -0.06  -1.15
0  1.98e+07 4156.13 | 4051.39    0.0   2882     0 |    1.41   0.75  -0.05  -1.14
0  1.98e+07 4156.13 | 4057.00    0.0   2882     0 |    1.41   0.79   0.10  -1.14
0  1.99e+07 4156.13 | 4056.65    0.0   2882     0 |    1.41   0.71   0.04  -1.14
0  2.00e+07 4156.13 | 4059.48    0.0   2882     0 |    1.41   0.83   0.11  -1.15
0  2.01e+07 4156.13 | 4059.67    0.0   2882     0 |    1.41   0.84  -0.02  -1.15
0  2.01e+07 4156.13 | 4058.73    0.0   2882     0 |    1.41   0.71   0.02  -1.15
0  2.02e+07 4156.13 | 4057.12    0.0   2882     0 |    1.41   0.64   0.04  -1.15
0  2.03e+07 4156.13 | 4061.64    0.0   2882     0 |    1.41   0.69   0.06  -1.15
0  2.04e+07 4156.13 | 4060.30    0.0   2882     0 |    1.41   0.77   0.09  -1.16
0  2.04e+07 4156.13 | 4059.57    0.0   2882     0 |    1.41   0.88   0.08  -1.16
0  2.05e+07 4156.13 | 4062.81    0.0   2882     0 |    1.41   0.80   0.15  -1.15
0  2.06e+07 4156.13 | 4062.12    0.0   2882     0 |    1.41   0.81  -0.02  -1.13
0  2.07e+07 4156.13 | 4058.70    0.0   2882     0 |    1.41   0.77   0.09  -1.13
0  2.07e+07 4156.13 | 4063.55    0.0   2882     0 |    1.41   0.76   0.04  -1.14
