################################################################################
ID     Step    maxR |    avgR   stdR   avgS  stdS |    expR   objC   etc.
0  5.77e+03 4083.29 |
成功率：99.3%, 提交量大于阈值的概率：0.06635%, 超供率：95.8%, 超供程度：82.9%, 超供平均值：5.7, 方差：98.9
0  5.77e+03 4083.29 | 4083.29    0.0   2886     0 |    1.34   0.70   0.05  -0.50
0  5.77e+04 4156.13 |
成功率：100.0%, 提交量大于阈值的概率：0.02974%, 超供率：97.6%, 超供程度：85.6%, 超供平均值：5.8, 方差：101.8
0  5.77e+04 4156.13 | 4156.13    0.0   2886     0 |    1.37   0.56   0.12  -0.52
0  1.10e+05 4156.13 | 4149.57    0.0   2883     0 |    1.40   0.53  -0.03  -0.54
0  1.85e+05 4156.13 | 4136.41    0.0   2883     0 |    1.41   0.51   0.01  -0.57
0  2.60e+05 4156.13 | 4128.41    0.0   2883     0 |    1.41   0.72   0.05  -0.59
0  3.35e+05 4156.13 | 4125.29    0.0   2883     0 |    1.41   0.75   0.02  -0.61
0  4.10e+05 4156.13 | 4120.70    0.0   2883     0 |    1.42   0.63   0.03  -0.65
0  4.85e+05 4156.13 | 4120.40    0.0   2883     0 |    1.42   0.67  -0.01  -0.68
0  5.60e+05 4156.13 | 4117.59    0.0   2883     0 |    1.42   0.65  -0.05  -0.70
0  6.35e+05 4156.13 | 4116.78    0.0   2883     0 |    1.42   0.74  -0.06  -0.72
0  7.09e+05 4156.13 | 4115.07    0.0   2883     0 |    1.42   0.72   0.02  -0.73
0  7.84e+05 4156.13 | 4115.00    0.0   2884     0 |    1.42   0.71   0.00  -0.74
0  8.59e+05 4156.13 | 4114.20    0.0   2884     0 |    1.42   0.71   0.04  -0.77
0  9.34e+05 4156.13 | 4109.31    0.0   2883     0 |    1.42   0.80  -0.02  -0.78
0  1.01e+06 4156.13 | 4114.26    0.0   2884     0 |    1.43   0.73   0.09  -0.82
0  1.08e+06 4156.13 | 4112.19    0.0   2884     0 |    1.42   0.83   0.09  -0.84
0  1.16e+06 4156.13 | 4101.80    0.0   2883     0 |    1.42   0.73  -0.02  -0.86
0  1.23e+06 4156.13 | 4097.06    0.0   2883     0 |    1.42   0.71   0.14  -0.88
0  1.31e+06 4156.13 | 4106.66    0.0   2883     0 |    1.42   0.84   0.11  -0.90
0  1.38e+06 4156.13 | 4107.65    0.0   2883     0 |    1.42   0.80  -0.11  -0.91
0  1.46e+06 4156.13 | 4107.50    0.0   2883     0 |    1.42   0.81  -0.02  -0.92
0  1.53e+06 4156.13 | 4118.10    0.0   2883     0 |    1.42   0.65   0.12  -0.94
0  1.61e+06 4156.13 | 4117.63    0.0   2883     0 |    1.43   0.67   0.08  -0.97
0  1.68e+06 4156.13 | 4108.19    0.0   2883     0 |    1.42   0.67   0.02  -1.00
0  1.76e+06 4156.13 | 4111.38    0.0   2883     0 |    1.42   0.73  -0.02  -1.02
0  1.83e+06 4156.13 | 4105.71    0.0   2883     0 |    1.42   0.72   0.06  -1.04
0  1.91e+06 4156.13 | 4109.64    0.0   2883     0 |    1.42   0.66   0.04  -1.06
0  1.98e+06 4156.13 | 4111.08    0.0   2883     0 |    1.43   0.75   0.15  -1.06
0  2.06e+06 4156.13 | 4110.03    0.0   2883     0 |    1.42   0.67   0.10  -1.06
0  2.13e+06 4156.13 | 4108.04    0.0   2883     0 |    1.42   0.76   0.05  -1.08
0  2.21e+06 4156.13 | 4102.01    0.0   2883     0 |    1.42   0.82  -0.01  -1.11
0  2.28e+06 4156.13 | 4107.57    0.0   2883     0 |    1.42   0.67   0.02  -1.11
0  2.36e+06 4156.13 | 4109.00    0.0   2883     0 |    1.42   0.78   0.20  -1.13
0  2.45e+06 4156.13 | 4096.29    0.0   2883     0 |    1.42   0.76   0.11  -1.15
0  2.52e+06 4156.13 | 4101.90    0.0   2883     0 |    1.42   0.76   0.11  -1.15
0  2.60e+06 4156.13 | 4099.69    0.0   2883     0 |    1.42   0.67  -0.04  -1.16
0  2.68e+06 4156.13 | 4101.22    0.0   2883     0 |    1.42   0.66   0.07  -1.17
0  2.75e+06 4156.13 | 4102.72    0.0   2883     0 |    1.42   0.75   0.02  -1.18
0  2.83e+06 4156.13 | 4098.91    0.0   2883     0 |    1.42   0.76  -0.03  -1.18
0  2.91e+06 4156.13 | 4094.23    0.0   2883     0 |    1.42   0.74   0.02  -1.18
0  2.98e+06 4156.13 | 4054.04    0.0   2883     0 |    1.40   0.71   0.09  -1.17
0  3.06e+06 4156.13 | 4064.24    0.0   2883     0 |    1.41   0.80   0.08  -1.16
0  3.13e+06 4156.13 | 4084.69    0.0   2883     0 |    1.42   0.70   0.06  -1.16
0  3.21e+06 4156.13 | 4085.86    0.0   2883     0 |    1.42   0.77   0.00  -1.16
