################################################################################
ID     Step    maxR |    avgR   stdR   avgS  stdS |    expR   objC   etc.
0  4.70e+06 4140.47 | 4062.21    0.0   2882     0 |    1.41   0.49   0.07  -1.18
0  4.78e+06 4140.47 | 4067.16    0.0   2882     0 |    1.41   0.47  -0.06  -1.17
0  4.85e+06 4140.47 | 4070.86    0.0   2882     0 |    1.41   0.49   0.01  -1.16
0  4.93e+06 4140.47 | 4069.11    0.0   2882     0 |    1.41   0.43  -0.05  -1.16
0  5.00e+06 4140.47 | 4069.62    0.0   2882     0 |    1.41   0.43  -0.03  -1.17
0  5.08e+06 4140.47 | 4064.12    0.0   2882     0 |    1.41   0.47   0.11  -1.17
0  5.15e+06 4140.47 | 4069.90    0.0   2882     0 |    1.41   0.46  -0.04  -1.18
0  5.23e+06 4140.47 | 4066.76    0.0   2882     0 |    1.41   0.52   0.03  -1.18
0  5.30e+06 4140.47 | 4068.72    0.0   2882     0 |    1.41   0.51  -0.01  -1.17
0  5.38e+06 4140.47 | 4071.54    0.0   2882     0 |    1.41   0.46  -0.01  -1.16
0  5.45e+06 4140.47 | 4070.57    0.0   2882     0 |    1.41   0.51   0.00  -1.17
0  5.53e+06 4140.47 | 4073.86    0.0   2882     0 |    1.41   0.52  -0.05  -1.18
0  5.60e+06 4140.47 | 4072.50    0.0   2882     0 |    1.41   0.51   0.06  -1.18
0  5.68e+06 4140.47 | 4069.26    0.0   2882     0 |    1.41   0.47   0.05  -1.17
0  5.75e+06 4140.47 | 4072.77    0.0   2882     0 |    1.41   0.46  -0.05  -1.17
0  5.83e+06 4140.47 | 4072.92    0.0   2882     0 |    1.41   0.52   0.07  -1.17
0  5.90e+06 4140.47 | 4075.19    0.0   2882     0 |    1.41   0.55  -0.08  -1.17
0  5.98e+06 4140.47 | 4076.08    0.0   2882     0 |    1.41   0.51  -0.02  -1.18
0  6.05e+06 4140.47 | 4069.48    0.0   2882     0 |    1.41   0.43  -0.02  -1.18
0  6.13e+06 4140.47 | 4070.95    0.0   2882     0 |    1.41   0.48  -0.14  -1.17
0  6.20e+06 4140.47 | 4068.41    0.0   2882     0 |    1.41   0.43   0.02  -1.18
0  6.28e+06 4140.47 | 4070.22    0.0   2882     0 |    1.41   0.45  -0.04  -1.17
0  6.35e+06 4140.47 | 4062.12    0.0   2882     0 |    1.41   0.49   0.10  -1.17
0  6.43e+06 4140.47 | 4066.63    0.0   2882     0 |    1.41   0.50   0.13  -1.17
0  6.50e+06 4140.47 | 4066.66    0.0   2882     0 |    1.41   0.46   0.08  -1.17
0  6.58e+06 4140.47 | 4068.89    0.0   2882     0 |    1.41   0.50  -0.02  -1.17
0  6.65e+06 4140.47 | 4068.21    0.0   2882     0 |    1.41   0.44   0.05  -1.16
0  6.73e+06 4140.47 | 4069.02    0.0   2882     0 |    1.41   0.50   0.01  -1.17
0  6.80e+06 4140.47 | 4068.65    0.0   2882     0 |    1.41   0.53   0.02  -1.17
0  6.88e+06 4140.47 | 4067.79    0.0   2882     0 |    1.41   0.54   0.01  -1.17
0  6.95e+06 4140.47 | 4058.85    0.0   2882     0 |    1.41   0.47   0.04  -1.17
0  7.03e+06 4140.47 | 4074.50    0.0   2882     0 |    1.41   0.48   0.10  -1.17
0  7.10e+06 4140.47 | 4065.74    0.0   2882     0 |    1.41   0.53   0.02  -1.18
0  7.18e+06 4140.47 | 4067.74    0.0   2882     0 |    1.41   0.50  -0.04  -1.16
0  7.25e+06 4140.47 | 4070.05    0.0   2882     0 |    1.41   0.51  -0.09  -1.16
0  7.33e+06 4140.47 | 4069.10    0.0   2882     0 |    1.41   0.43  -0.04  -1.16
0  7.40e+06 4140.47 | 4062.69    0.0   2882     0 |    1.41   0.48  -0.00  -1.16
0  7.48e+06 4140.47 | 4064.23    0.0   2882     0 |    1.41   0.48   0.09  -1.17
0  7.55e+06 4140.47 | 4114.72    0.0   2885     0 |    1.43   0.42   0.06  -1.17
0  7.63e+06 4140.47 | 4076.91    0.0   2885     0 |    1.41   0.46   0.04  -1.16
0  7.71e+06 4140.47 | 4077.98    0.0   2883     0 |    1.42   0.44   0.07  -1.17
0  7.78e+06 4140.47 | 4079.59    0.0   2882     0 |    1.41   0.52   0.10  -1.16
0  7.86e+06 4140.47 | 4055.80    0.0   2882     0 |    1.41   0.53   0.01  -1.16
0  7.93e+06 4140.47 | 4059.58    0.0   2882     0 |    1.41   0.48  -0.11  -1.17
0  8.01e+06 4140.47 | 4069.48    0.0   2882     0 |    1.41   0.40   0.00  -1.16
0  8.08e+06 4140.47 | 4067.66    0.0   2882     0 |    1.41   0.43  -0.06  -1.16
0  8.16e+06 4140.47 | 4068.44    0.0   2882     0 |    1.41   0.46   0.11  -1.17
0  8.23e+06 4140.47 | 4063.96    0.0   2882     0 |    1.41   0.49   0.02  -1.16
0  8.31e+06 4140.47 | 4061.52    0.0   2882     0 |    1.41   0.51   0.02  -1.16
0  8.38e+06 4140.47 | 4062.38    0.0   2882     0 |    1.41   0.44   0.01  -1.17
0  8.46e+06 4140.47 | 4061.14    0.0   2882     0 |    1.41   0.43  -0.12  -1.17
0  8.53e+06 4140.47 | 4072.31    0.0   2885     0 |    1.41   0.47  -0.02  -1.18
0  8.61e+06 4140.47 | 4073.65    0.0   2882     0 |    1.41   0.49   0.11  -1.19
0  8.68e+06 4140.47 | 4078.15    0.0   2884     0 |    1.41   0.47   0.10  -1.18
0  8.76e+06 4140.47 | 4070.86    0.0   2882     0 |    1.41   0.56  -0.06  -1.18
0  8.83e+06 4140.47 | 4052.94    0.0   2882     0 |    1.41   0.54   0.02  -1.17
0  8.91e+06 4140.47 | 4056.84    0.0   2882     0 |    1.41   0.55  -0.02  -1.17
0  8.98e+06 4140.47 | 4048.68    0.0   2882     0 |    1.40   0.51   0.04  -1.17
0  9.06e+06 4140.47 | 4056.36    0.0   2882     0 |    1.41   0.49   0.06  -1.16
0  9.13e+06 4140.47 | 4061.60    0.0   2882     0 |    1.41   0.48  -0.03  -1.16
0  9.21e+06 4140.47 | 4065.58    0.0   2882     0 |    1.41   0.45   0.03  -1.17
0  9.28e+06 4140.47 | 4070.15    0.0   2882     0 |    1.41   0.45   0.12  -1.18
0  9.36e+06 4140.47 | 4069.83    0.0   2882     0 |    1.41   0.44   0.03  -1.16
0  9.43e+06 4140.47 | 4073.59    0.0   2882     0 |    1.41   0.44   0.04  -1.15
0  9.51e+06 4140.47 | 4075.82    0.0   2882     0 |    1.41   0.49   0.03  -1.15
0  9.58e+06 4140.47 | 4071.70    0.0   2882     0 |    1.41   0.47  -0.04  -1.15
0  9.66e+06 4140.47 | 4076.16    0.0   2882     0 |    1.41   0.41   0.06  -1.15
0  9.74e+06 4140.47 | 4069.50    0.0   2882     0 |    1.41   0.50   0.10  -1.17
0  9.81e+06 4140.47 | 4072.43    0.0   2882     0 |    1.41   0.47   0.08  -1.17
0  9.89e+06 4140.47 | 4076.35    0.0   2882     0 |    1.41   0.42  -0.01  -1.16
0  9.97e+06 4140.47 | 4076.15    0.0   2882     0 |    1.41   0.49   0.08  -1.15
0  1.00e+07 4140.47 | 4068.78    0.0   2882     0 |    1.41   0.41   0.05  -1.16
0  1.01e+07 4140.47 | 4067.59    0.0   2882     0 |    1.41   0.48  -0.01  -1.17
0  1.02e+07 4140.47 | 4070.72    0.0   2882     0 |    1.41   0.47   0.03  -1.16
0  1.03e+07 4140.47 | 4070.02    0.0   2882     0 |    1.41   0.48   0.05  -1.16
0  1.03e+07 4140.47 | 4073.95    0.0   2882     0 |    1.41   0.44   0.04  -1.16
0  1.04e+07 4140.47 | 4065.91    0.0   2882     0 |    1.41   0.43  -0.03  -1.16
0  1.05e+07 4140.47 | 4067.44    0.0   2882     0 |    1.41   0.49   0.03  -1.16
0  1.06e+07 4140.47 | 4065.57    0.0   2882     0 |    1.41   0.49   0.03  -1.17
0  1.06e+07 4140.47 | 4071.26    0.0   2882     0 |    1.41   0.46   0.09  -1.16
0  1.07e+07 4140.47 | 4069.36    0.0   2882     0 |    1.41   0.43  -0.07  -1.16
0  1.08e+07 4140.47 | 4064.62    0.0   2882     0 |    1.41   0.45  -0.01  -1.16
0  1.09e+07 4140.47 | 4076.24    0.0   2882     0 |    1.41   0.48  -0.00  -1.15
0  1.09e+07 4140.47 | 4069.58    0.0   2882     0 |    1.41   0.49   0.02  -1.16
0  1.10e+07 4140.47 | 4070.46    0.0   2882     0 |    1.41   0.40   0.11  -1.15
0  1.11e+07 4140.47 | 4069.57    0.0   2882     0 |    1.41   0.46   0.03  -1.15
0  1.12e+07 4140.47 | 4074.36    0.0   2882     0 |    1.41   0.41   0.06  -1.15
0  1.12e+07 4140.47 | 4075.44    0.0   2882     0 |    1.41   0.43   0.12  -1.16
0  1.13e+07 4140.47 | 4073.37    0.0   2882     0 |    1.41   0.46   0.03  -1.16
0  1.14e+07 4140.47 | 4055.58    0.0   2882     0 |    1.41   0.45   0.06  -1.16
0  1.15e+07 4140.47 | 4059.45    0.0   2882     0 |    1.41   0.45   0.12  -1.16
0  1.15e+07 4140.47 | 4058.57    0.0   2882     0 |    1.41   0.44  -0.02  -1.17
0  1.16e+07 4140.47 | 4063.24    0.0   2882     0 |    1.41   0.47   0.06  -1.15
0  1.17e+07 4140.47 | 4067.51    0.0   2882     0 |    1.41   0.49   0.05  -1.15
0  1.18e+07 4140.47 | 4067.76    0.0   2882     0 |    1.41   0.48  -0.04  -1.15
0  1.18e+07 4140.47 | 4075.00    0.0   2884     0 |    1.41   0.44   0.06  -1.15
0  1.19e+07 4140.47 | 4071.38    0.0   2882     0 |    1.41   0.50   0.05  -1.15
0  1.20e+07 4140.47 | 4057.05    0.0   2882     0 |    1.41   0.49   0.02  -1.16
0  1.21e+07 4140.47 | 4067.28    0.0   2882     0 |    1.41   0.49   0.04  -1.16
0  1.21e+07 4140.47 | 4066.06    0.0   2882     0 |    1.41   0.48  -0.00  -1.15
0  1.22e+07 4140.47 | 4066.57    0.0   2882     0 |    1.41   0.53   0.01  -1.15
0  1.23e+07 4140.47 | 4068.70    0.0   2882     0 |    1.41   0.57   0.03  -1.15
0  1.24e+07 4140.47 | 4065.43    0.0   2882     0 |    1.41   0.39   0.11  -1.15
0  1.24e+07 4140.47 | 4065.36    0.0   2882     0 |    1.41   0.48   0.03  -1.15
0  1.25e+07 4140.47 | 4052.10    0.0   2882     0 |    1.41   0.46   0.03  -1.15
0  1.26e+07 4140.47 | 4055.90    0.0   2882     0 |    1.41   0.48  -0.02  -1.16
0  1.27e+07 4140.47 | 4056.80    0.0   2882     0 |    1.41   0.47   0.06  -1.15
0  1.27e+07 4140.47 | 4062.85    0.0   2882     0 |    1.41   0.46   0.04  -1.14
0  1.28e+07 4140.47 | 4062.17    0.0   2882     0 |    1.41   0.44  -0.13  -1.15
0  1.29e+07 4140.47 | 4058.47    0.0   2882     0 |    1.41   0.44  -0.10  -1.16
0  1.30e+07 4140.47 | 4060.53    0.0   2882     0 |    1.41   0.45  -0.02  -1.16
0  1.30e+07 4140.47 | 4072.38    0.0   2886     0 |    1.41   0.43   0.08  -1.16
0  1.31e+07 4140.47 | 4071.69    0.0   2883     0 |    1.41   0.51   0.06  -1.17
0  1.32e+07 4140.47 | 4058.22    0.0   2882     0 |    1.41   0.52   0.10  -1.17
0  1.33e+07 4140.47 | 4054.79    0.0   2882     0 |    1.41   0.42  -0.10  -1.16
0  1.33e+07 4140.47 | 4058.19    0.0   2882     0 |    1.41   0.45   0.02  -1.16
0  1.34e+07 4140.47 | 4061.91    0.0   2882     0 |    1.41   0.50   0.06  -1.16
0  1.35e+07 4140.47 | 4061.04    0.0   2882     0 |    1.41   0.49  -0.16  -1.16
0  1.36e+07 4140.47 | 4066.25    0.0   2883     0 |    1.41   0.47   0.07  -1.16
0  1.37e+07 4140.47 | 4070.90    0.0   2882     0 |    1.41   0.43   0.03  -1.16
0  1.37e+07 4140.47 | 4073.59    0.0   2882     0 |    1.41   0.44  -0.01  -1.15
0  1.38e+07 4140.47 | 4068.11    0.0   2882     0 |    1.41   0.41  -0.04  -1.15
0  1.39e+07 4140.47 | 4065.77    0.0   2882     0 |    1.41   0.44   0.10  -1.14
0  1.40e+07 4140.47 | 4059.70    0.0   2882     0 |    1.41   0.51   0.01  -1.14
0  1.40e+07 4140.47 | 4061.88    0.0   2882     0 |    1.41   0.48  -0.02  -1.15
0  1.41e+07 4140.47 | 4062.38    0.0   2882     0 |    1.41   0.41   0.07  -1.16
0  1.42e+07 4140.47 | 4061.05    0.0   2882     0 |    1.41   0.49   0.05  -1.16
0  1.43e+07 4140.47 | 4060.64    0.0   2882     0 |    1.41   0.46  -0.00  -1.16
0  1.43e+07 4140.47 | 4062.54    0.0   2882     0 |    1.41   0.49   0.01  -1.16
0  1.44e+07 4140.47 | 4064.48    0.0   2882     0 |    1.41   0.45   0.07  -1.16
0  1.45e+07 4140.47 | 4068.55    0.0   2882     0 |    1.41   0.50   0.23  -1.16
0  1.46e+07 4140.47 | 4062.72    0.0   2882     0 |    1.41   0.45  -0.04  -1.16
0  1.46e+07 4140.47 | 4063.77    0.0   2882     0 |    1.41   0.35  -0.00  -1.18
0  1.47e+07 4140.47 | 4063.43    0.0   2882     0 |    1.41   0.42  -0.01  -1.18
0  1.48e+07 4140.47 | 4062.60    0.0   2882     0 |    1.41   0.44   0.05  -1.18
0  1.49e+07 4140.47 | 4064.14    0.0   2882     0 |    1.41   0.50   0.02  -1.18
0  1.49e+07 4140.47 | 4045.98    0.0   2882     0 |    1.40   0.42   0.08  -1.17
0  1.50e+07 4140.47 | 4052.47    0.0   2882     0 |    1.41   0.45   0.08  -1.16
0  1.51e+07 4140.47 | 4056.37    0.0   2882     0 |    1.41   0.45   0.01  -1.17
0  1.52e+07 4140.47 | 4060.98    0.0   2883     0 |    1.41   0.51   0.00  -1.16
0  1.52e+07 4140.47 | 4062.65    0.0   2883     0 |    1.41   0.36   0.04  -1.14
0  1.53e+07 4140.47 | 4072.39    0.0   2883     0 |    1.41   0.48  -0.03  -1.15
0  1.54e+07 4140.47 | 4072.59    0.0   2883     0 |    1.41   0.46  -0.02  -1.15
0  1.55e+07 4140.47 | 4068.72    0.0   2883     0 |    1.41   0.48   0.06  -1.16
0  1.55e+07 4140.47 | 4068.58    0.0   2883     0 |    1.41   0.37  -0.02  -1.16
0  1.56e+07 4140.47 | 4060.41    0.0   2883     0 |    1.41   0.45   0.03  -1.15
0  1.57e+07 4140.47 | 4061.44    0.0   2883     0 |    1.41   0.40   0.03  -1.16
0  1.58e+07 4140.47 | 4065.58    0.0   2883     0 |    1.41   0.44   0.03  -1.15
0  1.58e+07 4140.47 | 4062.79    0.0   2883     0 |    1.41   0.47   0.04  -1.14
0  1.59e+07 4140.47 | 4064.26    0.0   2883     0 |    1.41   0.42   0.04  -1.14
0  1.60e+07 4140.47 | 4061.40    0.0   2883     0 |    1.41   0.38   0.02  -1.15
0  1.61e+07 4140.47 | 4068.28    0.0   2883     0 |    1.41   0.50  -0.11  -1.14
0  1.61e+07 4140.47 | 4067.56    0.0   2883     0 |    1.41   0.50  -0.07  -1.16
0  1.62e+07 4140.47 | 4065.49    0.0   2883     0 |    1.41   0.47   0.06  -1.16
0  1.63e+07 4140.47 | 4062.14    0.0   2883     0 |    1.41   0.52  -0.15  -1.17
0  1.64e+07 4140.47 | 4064.73    0.0   2883     0 |    1.41   0.46  -0.02  -1.16
0  1.64e+07 4140.47 | 4066.30    0.0   2883     0 |    1.41   0.46  -0.11  -1.15
0  1.65e+07 4140.47 | 4064.60    0.0   2883     0 |    1.41   0.51   0.06  -1.14
0  1.66e+07 4140.47 | 4057.90    0.0   2883     0 |    1.41   0.42  -0.00  -1.14
0  1.67e+07 4140.47 | 4059.50    0.0   2883     0 |    1.41   0.44   0.02  -1.15
0  1.67e+07 4140.47 | 4061.60    0.0   2883     0 |    1.41   0.47   0.05  -1.15
0  1.68e+07 4140.47 | 4063.26    0.0   2883     0 |    1.41   0.45   0.04  -1.16
0  1.69e+07 4140.47 | 4066.17    0.0   2883     0 |    1.41   0.48  -0.03  -1.16
0  1.70e+07 4140.47 | 4063.91    0.0   2883     0 |    1.41   0.46   0.01  -1.17
0  1.70e+07 4140.47 | 4063.95    0.0   2883     0 |    1.41   0.42   0.12  -1.16
0  1.71e+07 4140.47 | 4062.50    0.0   2882     0 |    1.41   0.44   0.08  -1.15
0  1.72e+07 4140.47 | 4063.52    0.0   2882     0 |    1.41   0.47   0.04  -1.15
0  1.73e+07 4140.47 | 4061.23    0.0   2882     0 |    1.41   0.39  -0.03  -1.14
0  1.73e+07 4140.47 | 4059.22    0.0   2882     0 |    1.41   0.47   0.02  -1.15
0  1.74e+07 4140.47 | 4050.99    0.0   2882     0 |    1.41   0.39  -0.00  -1.16
0  1.75e+07 4140.47 | 4056.21    0.0   2882     0 |    1.41   0.48   0.14  -1.15
0  1.76e+07 4140.47 | 4059.81    0.0   2882     0 |    1.41   0.43  -0.00  -1.15
0  1.76e+07 4140.47 | 4058.50    0.0   2882     0 |    1.41   0.39   0.06  -1.15
0  1.77e+07 4140.47 | 4057.83    0.0   2881     0 |    1.41   0.50  -0.03  -1.15
0  1.78e+07 4140.47 | 4057.29    0.0   2881     0 |    1.41   0.45   0.01  -1.16
0  1.79e+07 4140.47 | 4059.39    0.0   2881     0 |    1.41   0.37  -0.01  -1.17
0  1.79e+07 4140.47 | 4060.76    0.0   2881     0 |    1.41   0.42  -0.06  -1.16
0  1.80e+07 4140.47 | 4061.51    0.0   2881     0 |    1.41   0.45  -0.03  -1.17
0  1.81e+07 4140.47 | 4060.30    0.0   2881     0 |    1.41   0.46   0.03  -1.16
0  1.82e+07 4140.47 | 4061.50    0.0   2881     0 |    1.41   0.47   0.11  -1.16
0  1.82e+07 4140.47 | 4063.14    0.0   2881     0 |    1.41   0.43  -0.06  -1.16
0  1.83e+07 4140.47 | 4063.87    0.0   2881     0 |    1.41   0.44  -0.01  -1.16
0  1.84e+07 4140.47 | 4063.40    0.0   2881     0 |    1.41   0.49  -0.05  -1.16
0  1.85e+07 4140.47 | 4063.46    0.0   2881     0 |    1.41   0.44  -0.02  -1.16
0  1.85e+07 4140.47 | 4061.88    0.0   2881     0 |    1.41   0.45   0.08  -1.17
0  1.86e+07 4140.47 | 4062.68    0.0   2881     0 |    1.41   0.47   0.13  -1.17
0  1.87e+07 4140.47 | 4063.81    0.0   2881     0 |    1.41   0.41   0.04  -1.16
0  1.88e+07 4140.47 | 4080.90    0.0   2884     0 |    1.41   0.47   0.01  -1.16
0  1.88e+07 4140.47 | 4065.92    0.0   2881     0 |    1.41   0.45   0.01  -1.15
0  1.89e+07 4140.47 | 4044.08    0.0   2881     0 |    1.40   0.38   0.02  -1.15
0  1.90e+07 4140.47 | 4049.43    0.0   2881     0 |    1.41   0.43   0.09  -1.17
0  1.91e+07 4140.47 | 4053.47    0.0   2881     0 |    1.41   0.38   0.02  -1.17
0  1.91e+07 4140.47 | 4065.46    0.0   2881     0 |    1.41   0.38   0.22  -1.17
0  1.92e+07 4140.47 | 4060.30    0.0   2881     0 |    1.41   0.40  -0.02  -1.16
0  1.93e+07 4140.47 | 4063.35    0.0   2881     0 |    1.41   0.45   0.10  -1.16
0  1.94e+07 4140.47 | 4063.54    0.0   2881     0 |    1.41   0.42  -0.05  -1.16
0  1.94e+07 4140.47 | 4065.21    0.0   2881     0 |    1.41   0.41   0.09  -1.16
0  1.95e+07 4140.47 | 4067.56    0.0   2881     0 |    1.41   0.41   0.13  -1.16
0  1.96e+07 4140.47 | 4066.50    0.0   2881     0 |    1.41   0.46   0.04  -1.17
0  1.97e+07 4140.47 | 4064.63    0.0   2881     0 |    1.41   0.36  -0.04  -1.17
0  1.97e+07 4140.47 | 4062.00    0.0   2881     0 |    1.41   0.41   0.12  -1.16
0  1.98e+07 4140.47 | 4066.00    0.0   2881     0 |    1.41   0.42  -0.06  -1.16
0  1.99e+07 4140.47 | 4065.74    0.0   2881     0 |    1.41   0.44  -0.05  -1.17
0  2.00e+07 4140.47 | 4066.13    0.0   2881     0 |    1.41   0.45   0.19  -1.16
0  2.00e+07 4140.47 | 4068.84    0.0   2881     0 |    1.41   0.45  -0.05  -1.16
0  2.01e+07 4140.47 | 4068.19    0.0   2881     0 |    1.41   0.43   0.12  -1.15
0  2.02e+07 4140.47 | 4068.74    0.0   2881     0 |    1.41   0.34   0.02  -1.15
0  2.02e+07 4140.47 | 4068.07    0.0   2881     0 |    1.41   0.40   0.05  -1.15
0  2.03e+07 4140.47 | 4069.55    0.0   2881     0 |    1.41   0.49  -0.07  -1.15
0  2.04e+07 4140.47 | 4068.32    0.0   2881     0 |    1.41   0.41   0.06  -1.16
0  2.05e+07 4140.47 | 4067.73    0.0   2881     0 |    1.41   0.42  -0.04  -1.16
0  2.05e+07 4140.47 | 4063.94    0.0   2881     0 |    1.41   0.38  -0.09  -1.17
0  2.06e+07 4140.47 | 4063.83    0.0   2881     0 |    1.41   0.42   0.06  -1.17
0  2.07e+07 4140.47 | 4061.90    0.0   2881     0 |    1.41   0.43  -0.02  -1.16
0  2.08e+07 4140.47 | 4064.26    0.0   2881     0 |    1.41   0.44   0.03  -1.16
0  2.08e+07 4140.47 | 4067.27    0.0   2881     0 |    1.41   0.42   0.01  -1.16
