################################################################################
ID     Step    maxR |    avgR   stdR   avgS  stdS |    expR   objC   etc.
0  5.77e+03 4084.81 |
成功率：99.4%, 提交量大于阈值的概率：0.06374%, 超供率：95.8%, 超供程度：83.0%, 超供平均值：5.7, 方差：98.8
0  5.77e+03 4084.81 | 4084.81    0.0   2886     0 |    1.34   0.42   0.05  -0.50
0  5.77e+04 4140.47 |
成功率：99.9%, 提交量大于阈值的概率：0.01811%, 超供率：97.8%, 超供程度：87.2%, 超供平均值：5.8, 方差：101.8
0  5.77e+04 4140.47 | 4140.47    0.0   2884     0 |    1.38   0.38   0.11  -0.52
0  1.10e+05 4140.47 | 4127.02    0.0   2883     0 |    1.40   0.35  -0.03  -0.55
0  1.85e+05 4140.47 | 4112.70    0.0   2883     0 |    1.41   0.41   0.08  -0.57
0  2.60e+05 4140.47 | 4105.34    0.0   2883     0 |    1.41   0.46   0.06  -0.59
0  3.35e+05 4140.47 | 4104.14    0.0   2883     0 |    1.41   0.45   0.04  -0.62
0  4.10e+05 4140.47 | 4101.73    0.0   2883     0 |    1.42   0.38   0.03  -0.65
0  4.85e+05 4140.47 | 4097.76    0.0   2883     0 |    1.42   0.43   0.04  -0.66
0  5.60e+05 4140.47 | 4101.13    0.0   2883     0 |    1.42   0.48   0.16  -0.69
0  6.34e+05 4140.47 | 4098.20    0.0   2883     0 |    1.42   0.47   0.09  -0.72
0  7.09e+05 4140.47 | 4094.59    0.0   2882     0 |    1.41   0.48   0.04  -0.74
0  7.84e+05 4140.47 | 4092.88    0.0   2882     0 |    1.41   0.46   0.02  -0.74
0  8.59e+05 4140.47 | 4093.68    0.0   2882     0 |    1.42   0.47   0.08  -0.75
0  9.34e+05 4140.47 | 4091.79    0.0   2882     0 |    1.41   0.44   0.17  -0.76
0  1.01e+06 4140.47 | 4083.99    0.0   2882     0 |    1.41   0.40  -0.09  -0.76
0  1.08e+06 4140.47 | 4086.30    0.0   2882     0 |    1.41   0.48  -0.10  -0.79
0  1.16e+06 4140.47 | 4083.94    0.0   2882     0 |    1.42   0.50   0.07  -0.79
0  1.23e+06 4140.47 | 4084.08    0.0   2882     0 |    1.42   0.45   0.05  -0.82
0  1.31e+06 4140.47 | 4074.94    0.0   2882     0 |    1.41   0.49  -0.11  -0.83
0  1.38e+06 4140.47 | 4080.91    0.0   2882     0 |    1.41   0.44  -0.04  -0.85
0  1.46e+06 4140.47 | 4068.64    0.0   2882     0 |    1.41   0.50   0.01  -0.87
0  1.53e+06 4140.47 | 4082.32    0.0   2882     0 |    1.41   0.53   0.07  -0.89
0  1.61e+06 4140.47 | 4078.69    0.0   2882     0 |    1.41   0.53   0.05  -0.89
0  1.68e+06 4140.47 | 4076.46    0.0   2882     0 |    1.41   0.47  -0.03  -0.91
0  1.76e+06 4140.47 | 4068.87    0.0   2882     0 |    1.41   0.50  -0.06  -0.93
0  1.83e+06 4140.47 | 4071.05    0.0   2882     0 |    1.41   0.46  -0.04  -0.95
0  1.91e+06 4140.47 | 4062.84    0.0   2882     0 |    1.41   0.57  -0.11  -0.96
0  1.98e+06 4140.47 | 4076.44    0.0   2882     0 |    1.41   0.51   0.15  -0.98
0  2.06e+06 4140.47 | 4078.49    0.0   2882     0 |    1.41   0.48  -0.02  -1.00
0  2.13e+06 4140.47 | 4070.60    0.0   2882     0 |    1.41   0.43   0.03  -1.03
0  2.21e+06 4140.47 | 4072.44    0.0   2882     0 |    1.41   0.41  -0.13  -1.03
0  2.29e+06 4140.47 | 4071.02    0.0   2882     0 |    1.41   0.47   0.10  -1.05
0  2.37e+06 4140.47 | 4075.88    0.0   2882     0 |    1.41   0.45   0.03  -1.06
0  2.45e+06 4140.47 | 4073.28    0.0   2882     0 |    1.41   0.46   0.10  -1.07
0  2.53e+06 4140.47 | 4066.73    0.0   2882     0 |    1.41   0.50   0.14  -1.08
0  2.61e+06 4140.47 | 4069.73    0.0   2882     0 |    1.41   0.43  -0.07  -1.10
0  2.69e+06 4140.47 | 4075.28    0.0   2882     0 |    1.41   0.57   0.03  -1.12
0  2.77e+06 4140.47 | 4074.53    0.0   2882     0 |    1.41   0.50   0.04  -1.13
0  2.85e+06 4140.47 | 4075.83    0.0   2882     0 |    1.41   0.43   0.03  -1.14
0  2.93e+06 4140.47 | 4074.33    0.0   2882     0 |    1.41   0.50  -0.05  -1.14
0  3.00e+06 4140.47 | 4073.01    0.0   2882     0 |    1.41   0.50  -0.00  -1.15
0  3.08e+06 4140.47 | 4072.83    0.0   2882     0 |    1.41   0.46   0.06  -1.16
0  3.16e+06 4140.47 | 4075.59    0.0   2882     0 |    1.41   0.54   0.02  -1.17
0  3.23e+06 4140.47 | 4073.68    0.0   2882     0 |    1.41   0.41  -0.01  -1.16
0  3.31e+06 4140.47 | 4072.16    0.0   2882     0 |    1.41   0.51  -0.04  -1.16
0  3.39e+06 4140.47 | 4069.64    0.0   2882     0 |    1.41   0.53   0.13  -1.15
0  3.47e+06 4140.47 | 4075.22    0.0   2882     0 |    1.41   0.55  -0.03  -1.15
0  3.55e+06 4140.47 | 4073.51    0.0   2882     0 |    1.41   0.52   0.01  -1.16
0  3.63e+06 4140.47 | 4076.54    0.0   2882     0 |    1.41   0.46   0.05  -1.16
0  3.71e+06 4140.47 | 4075.13    0.0   2882     0 |    1.41   0.48  -0.00  -1.17
0  3.78e+06 4140.47 | 4069.98    0.0   2882     0 |    1.41   0.47   0.13  -1.17
0  3.86e+06 4140.47 | 4071.87    0.0   2882     0 |    1.41   0.53   0.04  -1.17
0  3.94e+06 4140.47 | 4077.82    0.0   2882     0 |    1.41   0.48   0.08  -1.16
0  4.01e+06 4140.47 | 4074.97    0.0   2882     0 |    1.41   0.46   0.03  -1.17
0  4.09e+06 4140.47 | 4070.26    0.0   2882     0 |    1.41   0.47   0.05  -1.18
0  4.16e+06 4140.47 | 4075.19    0.0   2882     0 |    1.41   0.45   0.12  -1.17
0  4.24e+06 4140.47 | 4076.48    0.0   2882     0 |    1.41   0.49  -0.10  -1.17
0  4.32e+06 4140.47 | 4067.62    0.0   2882     0 |    1.41   0.49  -0.01  -1.17
0  4.40e+06 4140.47 | 4066.52    0.0   2882     0 |    1.41   0.48  -0.06  -1.17
0  4.48e+06 4140.47 | 4066.45    0.0   2882     0 |    1.41   0.51   0.18  -1.17
0  4.55e+06 4140.47 | 4066.64    0.0   2882     0 |    1.41   0.50   0.03  -1.17
0  4.63e+06 4140.47 | 4069.70    0.0   2882     0 |    1.41   0.45   0.02  -1.18
