################################################################################
ID     Step    maxR |    avgR   stdR   avgS  stdS |    expR   objC   etc.
0  4.16e+06 3635.50 | 3622.25    0.0   2883     0 |    1.25   0.70   0.06  -1.17
0  4.24e+06 3635.50 | 3616.75    0.0   2883     0 |    1.25   0.70  -0.02  -1.17
0  4.32e+06 3635.50 | 3617.04    0.0   2883     0 |    1.25   0.68   0.10  -1.17
0  4.40e+06 3635.50 | 3609.00    0.0   2883     0 |    1.25   0.69   0.03  -1.17
0  4.48e+06 3635.50 | 3610.88    0.0   2883     0 |    1.25   0.64   0.01  -1.19
0  4.56e+06 3635.50 | 3628.60    0.0   2883     0 |    1.25   0.62   0.02  -1.18
0  4.64e+06 3635.50 | 3623.39    0.0   2883     0 |    1.25   0.72   0.05  -1.17
0  4.72e+06 3635.50 | 3625.44    0.0   2883     0 |    1.25   0.62  -0.06  -1.17
0  4.80e+06 3635.50 | 3622.43    0.0   2883     0 |    1.25   0.70   0.05  -1.18
0  4.88e+06 3635.50 | 3617.15    0.0   2883     0 |    1.25   0.71  -0.01  -1.18
0  4.97e+06 3635.50 | 3624.10    0.0   2883     0 |    1.25   0.61   0.11  -1.17
0  5.05e+06 3635.50 | 3626.56    0.0   2883     0 |    1.26   0.60   0.11  -1.16
0  5.13e+06 3635.50 | 3628.07    0.0   2885     0 |    1.26   0.75   0.16  -1.16
0  5.21e+06 3635.50 | 3619.18    0.0   2883     0 |    1.25   0.69   0.14  -1.16
0  5.29e+06 3635.50 | 3600.85    0.0   2883     0 |    1.25   0.69  -0.10  -1.17
0  5.37e+06 3635.50 | 3571.38    0.0   2883     0 |    1.24   0.67   0.04  -1.16
0  5.45e+06 3635.50 | 3606.87    0.0   2883     0 |    1.25   0.72   0.03  -1.16
0  5.53e+06 3657.19 |
成功率：100.0%, 提交量大于阈值的概率：0.03077%, 超供率：96.6%, 超供程度：86.1%, 超供平均值：5.7, 方差：212.4
0  5.53e+06 3657.19 | 3657.19    0.0   2886     0 |    1.26   0.58  -0.00  -1.16
0  5.59e+06 3657.19 | 3606.67    0.0   2882     0 |    1.25   0.69  -0.05  -1.15
0  5.66e+06 3657.19 | 3614.34    0.0   2883     0 |    1.25   0.67   0.05  -1.16
0  5.74e+06 3657.19 | 3619.53    0.0   2882     0 |    1.25   0.64  -0.04  -1.17
0  5.82e+06 3657.19 | 3601.23    0.0   2882     0 |    1.25   0.74  -0.12  -1.17
0  5.91e+06 3657.19 | 3558.72    0.0   2882     0 |    1.23   0.66   0.01  -1.17
0  5.99e+06 3657.19 | 3615.11    0.0   2882     0 |    1.25   0.58   0.05  -1.16
0  6.07e+06 3657.19 | 3620.19    0.0   2882     0 |    1.25   0.69   0.04  -1.16
0  6.15e+06 3657.19 | 3641.59    0.0   2887     0 |    1.27   0.67   0.10  -1.15
0  6.23e+06 3657.19 | 3619.86    0.0   2882     0 |    1.25   0.67   0.13  -1.15
0  6.31e+06 3657.19 | 3604.81    0.0   2882     0 |    1.25   0.65   0.04  -1.16
0  6.39e+06 3657.19 | 3631.15    0.0   2887     0 |    1.26   0.60  -0.02  -1.17
0  6.47e+06 3657.19 | 3628.68    0.0   2885     0 |    1.25   0.76  -0.05  -1.18
0  6.55e+06 3657.19 | 3593.49    0.0   2882     0 |    1.25   0.63   0.11  -1.17
0  6.63e+06 3657.19 | 3569.19    0.0   2882     0 |    1.24   0.66   0.05  -1.17
0  6.71e+06 3657.19 | 3577.78    0.0   2882     0 |    1.24   0.72  -0.03  -1.17
0  6.79e+06 3657.19 | 3568.59    0.0   2882     0 |    1.24   0.69   0.01  -1.16
0  6.87e+06 3657.19 | 3571.57    0.0   2882     0 |    1.24   0.72   0.14  -1.16
0  6.95e+06 3657.19 | 3567.32    0.0   2882     0 |    1.24   0.64   0.03  -1.16
0  7.04e+06 3657.19 | 3562.78    0.0   2882     0 |    1.23   0.74   0.00  -1.16
0  7.12e+06 3657.19 | 3562.09    0.0   2882     0 |    1.23   0.53  -0.04  -1.16
0  7.20e+06 3657.19 | 3566.34    0.0   2882     0 |    1.23   0.71   0.02  -1.17
0  7.28e+06 3657.19 | 3568.98    0.0   2882     0 |    1.24   0.64  -0.04  -1.17
0  7.36e+06 3657.19 | 3571.12    0.0   2882     0 |    1.24   0.70   0.07  -1.17
0  7.44e+06 3657.19 | 3575.77    0.0   2882     0 |    1.24   0.58  -0.05  -1.16
0  7.52e+06 3657.19 | 3587.87    0.0   2883     0 |    1.24   0.65  -0.04  -1.18
0  7.60e+06 3657.19 | 3579.21    0.0   2882     0 |    1.24   0.64  -0.02  -1.17
0  7.68e+06 3657.19 | 3586.74    0.0   2882     0 |    1.24   0.71   0.09  -1.17
0  7.76e+06 3657.19 | 3587.67    0.0   2883     0 |    1.24   0.66  -0.08  -1.18
0  7.84e+06 3657.19 | 3583.65    0.0   2883     0 |    1.24   0.57   0.04  -1.17
0  7.92e+06 3657.19 | 3592.24    0.0   2884     0 |    1.24   0.66   0.07  -1.17
0  8.00e+06 3657.19 | 3576.02    0.0   2882     0 |    1.24   0.70  -0.05  -1.17
0  8.08e+06 3657.19 | 3583.92    0.0   2882     0 |    1.24   0.55   0.04  -1.17
0  8.17e+06 3657.19 | 3596.53    0.0   2882     0 |    1.24   0.61   0.05  -1.17
0  8.25e+06 3657.19 | 3591.22    0.0   2882     0 |    1.25   0.71   0.01  -1.16
